"Sample","Substrate","Density","Culture","Day","Weight","D_matter","D_weight","Weight_Indv","Respiration"
"M-0.5-R01-D1","Bran/grass",0.5,1,1,1.0943,0.2204,0.24118372,24.118372,0.363658707779048
"M-0.5-R02-D1","Bran/grass",0.5,2,1,1.0764,0.2204,0.23723856,23.723856,0.369119526322831
"M-0.5-R03-D1","Bran/grass",0.5,3,1,1.0693,0.2204,0.23567372,23.567372,0.263239458007967
"M-0.5-R04-D1","Bran/grass",0.5,4,1,1.0851,0.2204,0.23915604,23.915604,0.362253311933497
"M-0.5-R05-D1","Bran/grass",0.5,5,1,1.0925,0.2204,0.240787,24.0787,0.376283069230532
"M-0.5-R06-D1","Bran/grass",0.5,6,1,1.0877,0.2204,0.23972908,23.972908,0.424166789921501
"M-0.5-R07-D1","Bran/grass",0.5,7,1,1.0869,0.2204,0.23955276,23.955276,0.388271285945042
"M-0.5-R08-D1","Bran/grass",0.5,8,1,1.0801,0.2204,0.23805404,23.805404,0.365720992211694
"M-0.5-R09-D1","Bran/grass",0.5,9,1,1.0985,0.2204,0.2421094,24.21094,0.523984468039136
"M-0.5-R10-D1","Bran/grass",0.5,10,1,1.101,0.2204,0.2426604,24.26604,0.458964598495838
"B-0.5-R01-D1","Brewery",0.5,1,1,1.0387,0.2169,0.22529403,22.529403,0.200681192012097
"B-0.5-R02-D1","Brewery",0.5,2,1,1.0392,0.2169,0.22540248,22.540248,0.216721374116484
"B-0.5-R03-D1","Brewery",0.5,3,1,1.0322,0.2169,0.22388418,22.388418,0.161859076514702
"B-0.5-R04-D1","Brewery",0.5,4,1,1.0364,0.2169,0.22479516,22.479516,0.146907946541565
"B-0.5-R05-D1","Brewery",0.5,5,1,1.0389,0.2169,0.22533741,22.533741,0.20019889749684
"B-0.5-R06-D1","Brewery",0.5,6,1,1.0291,0.2169,0.22321179,22.321179,0.163484011440676
"B-0.5-R07-D1","Brewery",0.5,7,1,1.0499,0.2169,0.22772331,22.772331,0.267784089838165
"B-0.5-R08-D1","Brewery",0.5,8,1,1.0407,0.2169,0.22572783,22.572783,0.224901365680005
"B-0.5-R09-D1","Brewery",0.5,9,1,1.0275,0.2169,0.22286475,22.286475,0.184978097472149
"B-0.5-R10-D1","Brewery",0.5,10,1,1.0483,0.2169,0.22737627,22.737627,0.295980168112186
"S-0.5-R01-D1","Sludge",0.5,1,1,1.0122,0.217,0.2196474,21.96474,0.0607328071854027
"S-0.5-R02-D1","Sludge",0.5,2,1,1.0115,0.217,0.2194955,21.94955,0.0781334401267448
"S-0.5-R03-D1","Sludge",0.5,3,1,1.0245,0.217,0.2223165,22.23165,0.0911398341512724
"S-0.5-R04-D1","Sludge",0.5,4,1,1.0218,0.217,0.2217306,22.17306,0.115650421720832
