"","Sample","Medium","Density","Culture","Survival","Individual_Weight","Total_Weight","Conversion","Substrate_reduction","Development_time"
"1","Bran/grass-½-R01","Bran/grass",0.5,1,0.942857142857143,38.1571428571429,1259.18571428571,0.131028690352312,0.46855192588981,8
"2","Bran/grass-½-R02","Bran/grass",0.5,2,0.857142857142857,32.3166666666667,969.5,0.102267932489451,0.462213554363725,8
"3","Bran/grass-½-R03","Bran/grass",0.5,3,0.942857142857143,37.2714285714286,1229.95714285714,0.131405677655678,0.456362749878108,6
"4","Bran/grass-½-R04","Bran/grass",0.5,4,1.02857142857143,37.0653846153846,1334.35384615385,0.136436998584238,0.476840565577767,8
"5","Bran/grass-½-R05","Bran/grass",0.5,5,1.05714285714286,30.7851851851852,1139.05185185185,0.116586678797528,0.476352998537299,7
"6","Bran/grass-½-R06","Bran/grass",0.5,6,1,35.12,1229.2,0.123661971830986,0.484641638225256,8
"7","Bran/grass-½-R07","Bran/grass",0.5,7,0.828571428571429,28.6368421052632,830.468421052632,0.088441791379407,0.457825450999512,8
"8","Bran/grass-½-R08","Bran/grass",0.5,8,0.885714285714286,29.741935483871,922,0.0987152034261242,0.455387615797172,8
"9","Bran/grass-½-R09","Bran/grass",0.5,9,1,34.0428571428572,1191.5,0.128256189451023,0.452949780594832,7
"10","Bran/grass-½-R10","Bran/grass",0.5,10,0.8,30.6857142857143,859.2,0.0907286166842661,0.461725987323257,8
"11","Brewery-½-R01","Brewery",0.5,1,0.742857142857143,38.85625,1010.2625,0.108630376344086,0.4534373476353,10
"12","Brewery-½-R02","Brewery",0.5,2,0.857142857142857,38.855,1165.65,0.12994983277592,0.437347635299854,9
"13","Brewery-½-R03","Brewery",0.5,3,0.971428571428571,37.6,1278.4,0.145272727272727,0.429058995611897,8
"14","Brewery-½-R04","Brewery",0.5,4,0.8,40.3777777777778,1130.57777777778,0.125063913470993,0.44076060458313,11
"15","Brewery-½-R05","Brewery",0.5,5,0.914285714285714,40.1136363636364,1283.63636363636,0.140441615277501,0.445636274987811,9
"16","Brewery-½-R06","Brewery",0.5,6,0.685714285714286,40.7357142857143,977.657142857143,0.106382714130266,0.448074110190151,10
"17","Brewery-½-R07","Brewery",0.5,7,1,42.188,1476.58,0.156251851851852,0.460750853242321,9
"18","Brewery-½-R08","Brewery",0.5,8,0.914285714285714,41.265625,1320.5,0.137123572170301,0.469527059970746,8
