"","Sample","Substrate","Density","Culture","Survival","Individual_Weight","Total_Weight","Conversion","Substrate_reduction","Development_time"
"1","M1-R01","Bran/grass",1,1,0.542857142857143,7.75769230769231,294.792307692308,0.0470523379448873,0.307569955817378,6
"2","M1-R02","Bran/grass",1,2,0.585714285714286,6.99655172413793,286.858620689655,0.0442833401293117,0.318006872852234,6
"3","M1-R03","Bran/grass",1,3,0.657142857142857,5.62058823529412,258.547058823529,0.0395434683057568,0.320976926853215,6
"4","M1-R04","Bran/grass",1,4,0.557142857142857,5.55185185185185,216.522222222222,0.036118339598022,0.294295532646048,6
"5","M1-R05","Bran/grass",1,5,0.357142857142857,7.82307692307693,195.576923076923,0.03181716362344,0.301762395679921,6
"6","M1-R06","Bran/grass",1,6,0.7,7.25945945945946,355.713513513514,0.0585883838181496,0.298055964653903,6
"7","M1-R07","Bran/grass",1,7,0.485714285714286,6.56363636363636,223.163636363636,0.0361943715009871,0.302685321551301,6
"8","M1-R08","Bran/grass",1,8,0.642857142857143,9.09393939393939,409.227272727273,0.0627870679422607,0.319965635738832,7
"9","M1-R09","Bran/grass",1,9,0.5,11.3521739130435,397.326086956522,0.0615980786872737,0.316656848306333,6
"10","M1-R10","Bran/grass",1,10,0.814285714285714,8.55333333333333,487.54,0.0686966323798788,0.348404516445753,6
"11","M3-R01","Bran/grass",3,1,0.652380952380952,3.02,413.74,0.0615987017434157,0.329734904270987,6
"12","M3-R02","Bran/grass",3,2,0.5,3.21720430107527,337.806451612903,0.0494541484200599,0.335331369661266,6
"13","M3-R03","Bran/grass",3,3,0.557142857142857,5.30666666666667,620.88,0.0821922160444798,0.370839469808542,6
"14","M3-R04","Bran/grass",3,4,0.752380952380952,4.36438356164384,689.572602739726,0.0875169878973673,0.386809032891507,6
"15","M3-R05","Bran/grass",3,5,0.676190476190476,4.66153846153846,661.938461538462,0.0838363723514947,0.387609229258714,7
"16","M3-R06","Bran/grass",3,6,0.80952380952381,4.23987341772152,720.778481012658,0.0910326708192501,0.388699067255768,6
"17","M3-R07","Bran/grass",3,7,0.738095238095238,3.85524475524476,597.562937062937,0.0719964020124263,0.407457044673539,6
